filename,b1,b2,b3,b4,b5,b2/b1,b2/sum_betas,m_net,m_avg,v_net,v_avg
ipole_images-1/torus.out0.03000.h5,0.003417974605326645,0.024467416885701018,0.03568449595561955,0.029062471518437865,0.014647425611874439,7.158454848544068,0.18510423688399527,0.02490204603686232,0.11670507258220492,0.010009867650602628,0.021906891638158274
ipole_images-1/torus.out0.03001.h5,0.0028239448113906245,0.024926251879393603,0.03989051618219328,0.03488853916292766,0.018485353452063914,8.826748943127862,0.16519245053877799,0.029877592055539744,0.11866042351496259,0.009556776696232923,0.02196291160582362
ipole_images-1/torus.out0.03002.h5,0.007170148839773545,0.025026771185437207,0.0430130214439079,0.03928594222273119,0.02222791766407793,3.490411669923944,0.14642967911721438,0.03418944066110697,0.12101238892647927,0.009658834046526376,0.021693072182635897
ipole_images-1/torus.out0.03003.h5,0.010464797120525934,0.025111553323699493,0.04464239528677159,0.04201893298559542,0.025045776067793738,2.3996216108619075,0.13613755696574464,0.03717375073178259,0.12397931863210818,0.009892494072541913,0.02172196906201575
ipole_images-1/torus.out0.03004.h5,0.012137829264765131,0.02605246099057225,0.04578418367934149,0.04322327028043333,0.0264131333109759,2.1463855210255645,0.13564217500755887,0.03845667807835746,0.12670957315697826,0.01041758624374056,0.021917206352407494
ipole_images-1/torus.out0.03005.h5,0.013153197893792627,0.027767826780786247,0.04723426025170396,0.044624463803830255,0.027571359669460355,2.1111084167516925,0.1394230777523478,0.03881123422285264,0.12931973898695928,0.01092304019104189,0.022073924145422738
ipole_images-1/torus.out0.03006.h5,0.015159574550232759,0.030589459376489554,0.049546152430564754,0.046451339957889554,0.028989042654632407,2.017830993549874,0.14555069103626253,0.03942804591037383,0.13273487059922717,0.0114073183076996,0.022097636618279893
ipole_images-1/torus.out0.03007.h5,0.017399330328281143,0.033857256797135325,0.052016127998819287,0.04807932798577091,0.029858381136503232,1.9458942475563679,0.15342086520503656,0.03947179359841883,0.13614330658257293,0.011778173937855416,0.022092951628386363
ipole_images-1/torus.out0.03008.h5,0.020069952967806955,0.03749095233208421,0.05454686420753132,0.04973198831879994,0.030524764774359895,1.8680139605818342,0.16172595484150032,0.03945326056741479,0.13916692094438102,0.012350578055779578,0.02221312481817218
ipole_images-1/torus.out0.03009.h5,0.022037098100702604,0.040725366535973875,0.05644408085729306,0.0501910793235231,0.030317721867895074,1.8480367219799887,0.17081916973778702,0.03869680927163185,0.14031914450327043,0.012730196020011063,0.02252283523262175
ipole_images-1/torus.out0.03010.h5,0.02389099420114417,0.04364229358587036,0.058269517383017604,0.05081337584526232,0.03005714224469558,1.8267257200949918,0.17845716801290692,0.037880000497304625,0.1411096265602671,0.013140393591310135,0.022727093801550132
ipole_images-1/torus.out0.03011.h5,0.025349786956738226,0.04588630440523767,0.05942910027223766,0.0508577443870234,0.02930933446863835,1.810125839856048,0.18551465698263359,0.0365137082676586,0.14121964491872116,0.013365782301213587,0.02307450305043011
ipole_images-1/torus.out0.03012.h5,0.026296782312101134,0.04775750514203365,0.060408385722932216,0.0507523137273279,0.028920234771937753,1.8160969116003525,0.19147351675234647,0.035285721501953596,0.1407911380816643,0.0136709180510197,0.023451370370156537
ipole_images-1/torus.out0.03013.h5,0.02716090453420357,0.04952734752284061,0.06142796923068644,0.05089544774946189,0.028486414539494524,1.823479312350261,0.1967828706063991,0.03418717424183594,0.14061823865120307,0.013941192512260614,0.023883373822994065
ipole_images-1/torus.out0.03014.h5,0.027935357931635568,0.05101909566684682,0.062379056685547045,0.05119880478328546,0.028315587503954607,1.8263269005431262,0.20152698910271422,0.03231469313864518,0.14010208079414738,0.014144928467557301,0.024243156816481773
ipole_images-1/torus.out0.03015.h5,0.02872959143476698,0.052131174671390605,0.06324681805732171,0.051607788246639856,0.02826135111745992,1.8145463289917971,0.20593737797582937,0.029164183595697862,0.1392622525531434,0.014234719087108189,0.024562545741927046
ipole_images-1/torus.out0.03016.h5,0.029071770384534838,0.05364136241068439,0.06365543155422534,0.05177362166922986,0.02803842832746746,1.8451357348095907,0.21273536688869601,0.025970042101827864,0.1381502227523506,0.014412439376729622,0.024705722588035543
ipole_images-1/torus.out0.03017.h5,0.029440423582884807,0.05482247926668294,0.0644889019904325,0.05176639377091735,0.028288959116214922,1.8621498129039826,0.217613697096767,0.023118525251843037,0.1380872074431044,0.014470939034411219,0.02485810951576924
ipole_images-1/torus.out0.03018.h5,0.029284585214795916,0.05483818296446107,0.06441272237982855,0.05196242972144631,0.02802940452097515,1.872595516113177,0.22168027441516244,0.01884778833896224,0.13688766340915942,0.014665272215954532,0.024931626858144536
ipole_images-1/torus.out0.03019.h5,0.029403148911818267,0.05524989661537429,0.06474281252235727,0.051683635887249925,0.027779778550976436,1.8790469272890433,0.22676430989284607,0.014785314446921638,0.1361619280077173,0.014955345378481961,0.025116026191369253
ipole_images-1/torus.out0.03020.h5,0.02939943528169925,0.05516974206696888,0.06384655264542043,0.05093628826319396,0.027605997665304093,1.8765578841343018,0.2316253613133682,0.011227223181386992,0.13600737203356977,0.015433864324243728,0.02530263454205238
ipole_images-1/torus.out0.03021.h5,0.02921693643475583,0.05409450492138014,0.0624437792834062,0.05019444388848475,0.027073745264064766,1.8514776537977642,0.2343839623847925,0.007770985741559165,0.13543785037621217,0.01594317684237563,0.025471453338081748
ipole_images-1/torus.out0.03022.h5,0.029121528216169795,0.05296258245427314,0.06115316372942224,0.048871916633029866,0.02688202985360742,1.818674557912299,0.23651479739805,0.004938034436741042,0.1348067461331767,0.016487829188591006,0.02568070638262916
ipole_images-1/torus.out0.03023.h5,0.028935197468279196,0.0524372809281677,0.06047491693684497,0.04812289164493413,0.026664388751414497,1.8122316595783783,0.23933093896410723,0.00246479028645943,0.13461232023486058,0.016989805400684125,0.02593116271056295
ipole_images-1/torus.out0.03024.h5,0.029208221582968028,0.05188035358712833,0.0591868256604154,0.0473341172563379,0.027040532603611667,1.776224322311391,0.2410575219725597,0.0005697572731915315,0.1340541692296035,0.01748198196879587,0.026149299652565218
ipole_images-1/torus.out0.03025.h5,0.029874181432288593,0.0507867399005293,0.05836458497869335,0.047268001377358836,0.02721687682391903,1.700021137504307,0.23599749829216168,0.0016899471350320158,0.13351473655958188,0.01790242845958791,0.026282028377968232
ipole_images-1/torus.out0.03026.h5,0.029558577605730985,0.04959209235410399,0.057193145431809665,0.04671371493902202,0.027439501742087282,1.677756386507881,0.23247524289437466,0.0028250048747940687,0.13292808657480285,0.01822943520161564,0.026417706776718407
ipole_images-1/torus.out0.03027.h5,0.02875839055144097,0.04844600540042577,0.05607432018491217,0.046237352065804045,0.028221499280722023,1.6845868100222434,0.22934134746433377,0.0035021672442495586,0.13240928152997417,0.018277520483952897,0.02652898319356799
ipole_images-1/torus.out0.03028.h5,0.028019568229636933,0.046388505335930294,0.054354884929349666,0.04604346263390283,0.028675972924604495,1.6555753092177958,0.22401201869890122,0.0035980367438267023,0.1318573157353412,0.018321720535603082,0.026607625160415743
ipole_images-1/torus.out0.03029.h5,0.02692341989409308,0.04478386902575693,0.05309143237334032,0.04531342646299289,0.029739830167861272,1.663379659861947,0.2202361749965536,0.0034927678991961033,0.13165463572737368,0.018277989111101765,0.026614189213868208
ipole_images-1/torus.out0.03030.h5,0.025612295316366003,0.04332136139085345,0.051348945411987895,0.04507036235233709,0.030251515542869496,1.6914283103385712,0.21833584007582166,0.0028116910356949677,0.13165526058373456,0.01829761417061877,0.026685836534819617
ipole_images-1/torus.out0.03031.h5,0.02409143648235702,0.04243267246380554,0.05069560736869555,0.044273465858740625,0.030811810657490613,1.7613176572048923,0.21834095167640505,0.0020363441375862343,0.13171962867778236,0.018374255989539064,0.026734878110075116
ipole_images-1/torus.out0.03032.h5,0.02270453838468039,0.04015400250866396,0.0497244880940224,0.0448511961830644,0.031098590100534847,1.768545205735492,0.21111795399862388,0.001664189522504552,0.13172627963894748,0.018404606276875547,0.02670601687012884
